牡蠣原始編號 Oyster Original Number,右殼長 Right Shell Length,左殼長 Left Shell Length,殼寬 Shell Width,殼高 Shell Height,面積 Area,體積 Volume,總重量 Total Weight,殼重 Shell Weight,肉重占總重量百分比(%) The proportion of Meat Weight in Total Weight(%),雜質重 Impurity Weight,肉重 Meat Weight
45.0,6.9,7.8,4.0,2.6,31.2,81.12,40.9,29.0,0.2616136919315403,1.1999999999999955,10.7
46.0,6.8,7.9,4.0,2.7,31.6,85.32000000000001,37.8,25.5,0.2777777777777778,1.7999999999999972,10.5
47.0,7.8,8.5,4.1,2.4,34.849999999999994,83.63999999999999,34.0,26.0,0.2323529411764706,0.1000000000000014,7.9
48.0,7.4,8.6,4.7,2.0,40.42,80.84,43.8,29.5,0.3127853881278539,0.5999999999999943,13.7
49.0,6.1,6.6,4.5,2.5,29.7,74.25,38.6,26.3,0.2979274611398964,0.8000000000000043,11.5
50.0,7.9,8.8,4.9,1.7,43.120000000000005,73.304,41.5,30.6,0.2457831325301204,0.7000000000000028,10.2
51.0,7.0,7.5,4.2,3.1,31.5,97.65,31.8,26.4,0.1823899371069182,-0.399999999999995,5.8
52.0,7.1,8.1,3.7,2.7,29.97,80.919,27.9,22.3,0.1935483870967742,0.1999999999999957,5.4
53.0,8.4,10.0,4.5,2.1,45.0,94.5,31.2,24.7,0.2660256410256411,-1.8000000000000007,8.3
54.0,6.2,7.1,5.0,3.0,35.5,106.5,31.0,27.5,0.1161290322580645,-0.1000000000000014,3.6
55.0,8.6,9.7,4.5,1.9,43.65,82.93499999999999,37.6,28.7,0.2074468085106383,1.1000000000000014,7.8
56.0,7.9,8.2,4.4,1.8,36.08,64.944,23.5,17.6,0.2851063829787234,-0.8000000000000007,6.7
57.0,8.4,9.5,4.6,2.1,43.7,91.77,33.1,27.4,0.175226586102719,-0.0999999999999943,5.8
58.0,6.7,7.4,4.9,2.6,36.260000000000005,94.276,37.5,28.4,0.2373333333333333,0.2000000000000028,8.9
59.0,6.7,7.7,4.8,1.8,36.96,66.528,30.2,22.6,0.2483443708609271,0.0999999999999978,7.5
60.0,8.1,9.0,4.5,2.8,40.5,113.4,38.2,29.2,0.1623036649214659,2.8000000000000043,6.2
61.0,7.9,8.9,4.5,2.2,40.05,88.11000000000001,28.0,21.7,0.2178571428571428,0.2000000000000028,6.1
62.0,6.4,7.9,5.0,2.0,39.5,79.0,25.4,18.8,0.2244094488188976,0.8999999999999986,5.7
63.0,7.5,8.5,3.8,1.7,32.3,54.91,21.1,16.3,0.2132701421800947,0.3000000000000007,4.5
64.0,9.0,9.4,5.5,2.0,51.7,103.4,59.6,48.7,0.1761744966442953,0.3999999999999986,10.5
65.0,7.3,8.1,4.7,1.7,38.07,64.719,23.9,16.5,0.2510460251046025,1.3999999999999986,6.0
66.0,6.0,7.2,4.1,2.2,29.52,64.944,26.8,17.6,0.3134328358208955,0.8000000000000007,8.4
67.0,5.6,6.7,4.1,2.4,27.47,65.928,27.9,19.5,0.2939068100358423,0.1999999999999993,8.2
68.0,8.5,9.6,5.0,2.1,48.0,100.8,44.7,34.5,0.2102908277404921,0.8000000000000043,9.4
69.0,7.0,7.7,3.8,1.8,29.26,52.668,29.4,19.4,0.3197278911564626,0.6000000000000014,9.4
70.0,7.4,8.2,3.9,1.9,31.98,60.76199999999999,26.9,19.3,0.2007434944237918,2.199999999999996,5.4
71.0,7.5,7.8,4.5,2.1,35.1,73.71000000000001,24.6,17.5,0.2967479674796747,-0.1999999999999993,7.3
72.0,7.0,7.9,4.5,2.3,35.550000000000004,81.765,31.8,23.4,0.2358490566037736,0.9000000000000021,7.5
73.0,7.8,9.6,5.3,2.1,50.88,106.848,42.6,29.4,0.2582159624413145,2.200000000000003,11.0
74.0,6.4,7.4,4.1,1.9,30.34,57.646,28.9,20.8,0.2595155709342561,0.5999999999999979,7.5
75.0,6.6,7.4,3.8,1.8,28.12,50.616,27.5,20.4,0.2254545454545454,0.9000000000000021,6.2
76.0,8.4,9.4,4.3,2.2,40.42,88.924,50.0,35.1,0.238,3.0,11.9
77.0,7.7,8.6,5.5,2.4,47.3,113.52,51.9,39.4,0.2620423892100192,-1.1000000000000014,13.6
78.0,8.2,9.4,4.1,2.2,38.54,84.78800000000001,33.1,22.7,0.2900302114803625,0.8000000000000043,9.6
79.0,7.2,7.7,4.6,1.9,35.419999999999995,67.29799999999999,28.1,18.4,0.3167259786476868,0.8000000000000043,8.9
80.0,6.4,7.7,5.0,1.8,38.5,69.3,31.4,20.5,0.3248407643312102,0.6999999999999993,10.2
81.0,8.2,9.0,4.0,1.8,36.0,64.8,28.4,20.8,0.2676056338028169,0.0,7.6
82.0,8.6,9.8,4.8,2.2,47.04,103.488,41.8,28.9,0.2822966507177034,1.0999999999999943,11.8
83.0,6.4,7.5,4.9,2.2,36.75,80.85000000000001,31.2,23.1,0.2628205128205128,-0.1000000000000014,8.2
84.0,7.8,9.0,4.5,2.5,40.5,101.25,43.8,28.2,0.2831050228310502,3.199999999999996,12.4
85.0,7.4,8.8,4.5,1.9,39.6,75.24,36.0,26.4,0.2277777777777777,1.4000000000000057,8.2
86.0,7.4,8.4,4.3,2.4,36.12,86.68799999999999,42.0,27.8,0.3214285714285714,0.7000000000000028,13.5
87.0,6.5,7.4,4.8,2.0,35.52,71.04,36.4,23.7,0.2967032967032967,1.8999999999999984,10.8
88.0,5.2,6.2,4.1,2.0,25.42,50.84,25.5,17.3,0.2784313725490196,1.1000000000000014,7.1
89.0,8.4,9.5,4.8,1.7,45.6,77.52,34.2,22.4,0.2923976608187134,1.8000000000000045,10.0
90.0,7.0,8.1,4.5,2.5,36.45,91.125,38.1,27.6,0.2362204724409448,1.5,9.0
91.0,6.7,7.7,4.8,2.3,36.96,85.008,32.0,26.0,0.196875,-0.2999999999999971,6.3
92.0,8.4,9.7,5.1,2.4,49.46999999999999,118.72799999999998,48.7,33.4,0.2669404517453798,2.3000000000000043,13.0
93.0,7.5,7.7,4.6,1.8,35.419999999999995,63.75599999999999,28.4,20.7,0.2429577464788732,0.7999999999999972,6.9
94.0,7.4,8.0,4.3,2.1,34.4,72.24,30.2,22.0,0.2549668874172185,0.5,7.7
95.0,6.9,8.2,4.7,2.0,38.54,77.08,38.2,26.3,0.2617801047120419,1.9000000000000057,10.0
96.0,6.1,6.6,4.4,2.7,29.04,78.408,35.9,24.6,0.2841225626740947,1.1000000000000014,10.2
97.0,6.7,7.8,4.2,2.4,32.76,78.624,33.0,24.4,0.2121212121212121,1.6000000000000014,7.0
98.0,6.9,8.0,4.7,2.3,37.6,86.47999999999999,35.3,24.9,0.28328611898017,0.3999999999999986,10.0
99.0,8.1,9.3,3.9,2.0,36.27,72.54,32.3,22.9,0.2476780185758514,1.3999999999999986,8.0
