牡蠣原始編號 Oyster Original Number,右殼長 Right Shell Length,左殼長 Left Shell Length,殼寬 Shell Width,殼高 Shell Height,面積 Area,體積 Volume,總重量 Total Weight,殼重 Shell Weight,肉重占總重量百分比(%) The proportion of Meat Weight in Total Weight(%),雜質重 Impurity Weight,肉重 Meat Weight,準確值 Accurate value,預測值 Predicted value,誤差值 Error value
57.0,8.4,9.5,4.6,2.1,43.7,91.77,33.1,27.4,0.175226586102719,-0.0999999999999943,5.8,5.8,8.067634582519531,-2.2676345825195314
99.0,8.1,9.3,3.9,2.0,36.27,72.54,32.3,22.9,0.2476780185758514,1.3999999999999986,8.0,8.0,7.907693862915039,0.09230613708496094
113.0,8.4,9.4,3.9,2.4,36.66,87.98400000000001,35.0,23.6,0.3,0.8999999999999986,10.5,10.5,8.145459175109863,2.3545408248901367
43.0,6.3,7.7,4.4,1.6,33.88,54.208000000000006,21.7,16.3,0.2258064516129032,0.4999999999999964,4.9,4.9,5.919705390930176,-1.0197053909301754
5.0,6.4,7.8,3.8,2.3,29.64,68.17199999999998,25.9,20.0,0.2509652509652509,-0.6000000000000014,6.5,6.5,6.632318496704102,-0.13231849670410156
18.0,8.1,9.3,4.8,2.1,44.64,93.744,53.5,40.0,0.2485981308411215,0.2000000000000028,13.3,13.3,13.977154731750488,-0.6771547317504876
39.0,6.6,7.8,3.9,2.4,30.42,73.008,30.0,22.0,0.2766666666666666,-0.3000000000000007,8.3,8.3,7.655330657958984,0.6446693420410163
6.0,7.4,8.4,4.1,2.3,34.44,79.21199999999999,33.4,24.8,0.2544910179640718,0.1000000000000014,8.5,8.5,8.32259464263916,0.17740535736083984
54.0,6.2,7.1,5.0,3.0,35.5,106.5,31.0,27.5,0.1161290322580645,-0.1000000000000014,3.6,3.6,6.7405242919921875,-3.1405242919921874
119.0,5.9,6.7,3.6,1.7,24.12,41.004,17.2,11.0,0.2790697674418604,1.3999999999999986,4.8,4.8,5.43983268737793,-0.6398326873779299
102.0,6.1,7.5,4.6,1.7,34.5,58.65,19.8,14.6,0.2676767676767677,-0.0999999999999978,5.3,5.3,5.227046966552734,0.07295303344726545
1.0,6.9,7.8,4.1,2.5,31.98,79.94999999999999,28.1,20.7,0.2562277580071174,0.2000000000000028,7.2,7.2,6.899033546447754,0.30096645355224627
35.0,10.5,10.8,7.2,2.7,77.76,209.95200000000003,107.5,67.5,0.2762790697674419,10.299999999999995,29.7,29.7,29.272924423217773,0.42707557678222585
29.0,7.5,8.4,4.6,2.8,38.64,108.192,46.8,30.9,0.282051282051282,2.700000000000003,13.2,13.2,11.368083953857422,1.8319160461425774
